ID,Age,Experience,ZIP Code,Family,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
1515,44,20,96150,2,1,0,0,0,1,1,0
1684,55,29,92660,2,3,0,0,0,0,0,0
4182,47,22,90024,1,3,0,0,0,1,0,0
3822,35,9,92220,2,2,259,0,0,1,0,1
3973,29,5,94998,2,1,0,0,0,1,1,0
4748,49,25,94704,4,2,0,0,0,1,0,0
380,25,0,92093,2,2,0,0,0,0,0,0
3809,34,10,90089,2,1,0,0,0,0,0,0
3170,52,28,94608,1,2,227,0,0,0,0,0
3388,63,37,94035,2,3,0,0,0,1,0,0
1315,32,6,94305,4,2,0,0,0,0,0,0
3521,60,35,92126,3,2,0,0,0,0,0,0
251,30,6,94305,3,2,117,0,0,0,0,0
1160,50,26,92028,4,1,0,0,0,0,1,0
1231,27,1,94920,4,2,0,0,0,1,1,0
2981,25,-1,94305,3,2,0,0,0,0,0,0
1398,65,41,95521,3,3,0,0,0,1,0,0
4010,42,18,91605,2,1,0,0,0,1,0,0
3765,63,37,94720,2,1,0,0,0,0,0,0
3259,41,17,91910,4,2,185,1,0,1,0,0
3680,49,23,90095,2,1,0,0,0,1,0,0
524,56,31,93023,4,1,0,0,0,0,0,0
915,65,41,91711,3,1,0,1,1,0,1,1
51,32,8,92093,4,2,0,1,0,1,0,0
4643,65,40,95616,4,2,0,0,0,1,0,1
3993,47,22,93311,2,2,0,0,0,0,0,1
3429,45,21,93106,1,3,0,0,0,0,0,0
3010,33,9,92120,3,2,0,0,0,1,0,0
1690,59,34,92028,3,2,0,0,0,1,1,0
88,48,22,94305,3,1,0,0,0,1,0,0
2276,40,16,94305,1,1,0,0,0,1,0,0
4509,27,2,94117,1,1,0,0,0,1,1,0
3886,32,2,93943,4,3,102,0,0,1,0,0
3716,29,5,92037,2,1,0,0,0,0,1,0
4751,66,41,95134,1,3,0,0,0,0,1,0
1647,52,26,91745,1,1,0,0,0,1,0,0
1363,31,5,92130,3,1,157,0,0,1,1,0
4216,64,40,94028,2,3,0,0,0,0,0,0
665,54,30,95126,1,3,227,0,0,0,1,0
1268,50,23,94720,2,2,0,1,0,0,0,0
3725,44,20,93108,2,3,119,0,0,0,0,0
4800,44,20,94306,4,1,142,0,0,0,1,0
3900,60,34,92697,1,1,0,0,0,1,1,0
302,65,39,92120,2,1,196,0,0,0,0,0
2166,27,0,95929,4,3,154,0,0,1,0,0
3168,62,38,94720,4,2,228,0,0,0,1,0
3547,65,40,94720,1,3,119,0,0,1,1,0
871,43,19,92106,3,1,0,0,0,1,0,0
4175,40,14,91335,3,3,0,0,0,1,0,0
2392,39,12,92697,1,2,0,0,0,1,0,1
4091,42,18,92717,3,3,0,1,0,1,0,0
2350,59,35,94610,1,1,76,1,1,1,0,0
209,40,16,94110,4,1,0,0,0,1,1,0
1721,52,28,95060,1,1,0,0,0,1,0,0
1636,49,24,91330,1,1,0,0,0,0,0,0
595,50,26,94143,1,1,144,0,0,0,0,0
2388,28,2,94720,4,3,0,0,0,0,1,0
1502,30,4,92130,2,2,0,1,0,0,1,0
928,65,40,95014,3,2,138,0,0,0,1,1
2500,53,27,94105,4,2,144,1,0,1,0,0
610,37,11,91770,4,3,0,0,0,0,0,0
977,54,30,94109,4,1,0,1,0,0,0,0
863,50,23,94025,2,2,101,0,0,0,0,0
65,47,23,90024,2,1,0,0,0,0,0,0
1734,40,16,95125,2,1,0,0,0,1,0,0
2908,45,20,91763,2,1,0,0,0,0,1,0
795,54,29,91301,2,3,0,0,0,1,0,0
3028,53,29,93305,4,3,152,0,0,1,0,0
1026,62,37,94545,3,1,169,0,0,1,0,0
4311,65,41,94143,4,2,0,0,1,1,1,1
292,43,16,90089,3,2,88,0,0,1,0,0
2529,57,31,91335,3,1,0,0,0,0,1,0
361,35,10,94539,4,1,0,0,0,0,0,0
101,48,23,94080,1,1,0,0,0,1,0,0
4628,27,1,93106,1,2,307,0,0,1,0,1
1402,40,15,94521,1,3,0,0,0,1,0,0
344,35,5,93407,1,3,103,0,0,0,0,0
3254,55,30,94025,1,2,118,0,0,0,1,0
1504,34,8,94720,4,2,0,0,0,0,0,0
4429,51,27,95818,4,1,0,1,0,1,0,0
4898,43,18,91345,1,1,0,0,0,0,0,0
191,60,36,92521,1,1,0,0,0,1,0,0
2111,28,4,94301,3,1,0,0,0,0,0,0
61,49,24,90404,3,2,0,1,0,1,0,0
3209,53,29,95032,4,2,0,0,0,1,0,0
3230,33,9,92507,4,1,0,0,0,0,0,0
2468,40,16,92350,1,2,230,1,0,1,0,0
4027,27,1,92038,3,1,0,0,0,0,0,1
812,63,33,94720,4,3,0,0,0,0,0,0
2734,55,29,93107,3,2,147,0,0,0,0,0
4778,32,8,94534,4,2,78,0,0,1,0,0
2352,55,31,94611,2,3,0,0,0,1,1,0
3032,51,25,90212,1,3,102,0,0,0,1,0
1574,44,20,92028,1,3,184,0,1,1,1,0
1665,61,35,91605,1,1,0,0,0,1,0,0
1512,58,32,90266,3,3,0,0,0,0,0,0
543,40,14,94709,3,1,0,0,0,1,0,0
4015,56,32,94720,4,1,0,0,0,1,1,0
1950,58,34,90504,1,3,0,0,0,0,0,0
4870,63,39,92121,3,3,0,0,0,0,1,0
3676,60,34,92126,2,1,0,0,0,1,0,0
2115,62,36,95039,2,3,0,0,0,1,0,0
534,27,2,92807,1,1,0,0,0,0,0,0
734,49,24,92009,1,1,0,0,0,1,0,0
1212,61,36,92407,1,1,0,0,0,1,0,0
4224,53,26,94709,1,2,0,0,0,0,1,0
2164,33,3,92161,4,3,0,0,0,1,0,0
3758,45,21,91101,1,2,0,0,0,1,0,1
3612,64,39,92705,1,1,0,0,0,0,0,0
3428,39,15,94080,2,1,0,0,0,1,0,0
1543,50,20,92612,4,3,0,0,0,0,0,0
4217,60,35,90059,3,3,0,0,0,1,0,1
4951,47,23,90089,1,1,0,0,0,0,1,0
241,51,26,90089,1,1,169,0,0,0,0,0
4253,54,29,91107,1,3,0,0,0,0,0,0
466,66,42,94305,1,2,172,0,0,1,0,0
3405,39,14,94303,1,3,101,0,0,0,0,0
4121,49,23,94080,1,3,0,0,0,0,0,0
2962,60,36,95741,1,3,0,0,0,1,0,0
1975,39,13,90095,4,3,242,0,0,0,0,0
3138,61,36,91711,3,1,0,0,0,1,0,0
1438,28,3,92007,1,1,146,0,0,0,0,0
1536,61,37,92096,4,1,0,0,0,1,1,0
111,41,14,91330,3,2,0,0,0,0,0,0
4426,26,0,95973,2,3,301,0,0,1,0,1
4786,30,5,94304,2,3,0,1,0,1,0,0
2884,40,14,90024,4,2,0,0,0,1,0,0
662,63,38,94720,2,1,0,0,0,1,0,0
4727,34,10,95039,1,1,0,1,0,1,0,0
3917,50,26,92121,1,1,96,0,0,0,0,0
4612,34,7,93940,2,2,0,0,0,1,0,0
823,61,35,96091,3,3,0,0,0,0,0,0
3947,25,-1,93117,3,2,0,0,0,1,0,0
3180,43,17,90245,2,1,130,1,0,1,0,0
2032,60,35,94608,3,1,0,0,0,1,0,0
2205,63,37,94704,2,1,76,0,0,0,0,0
4411,39,14,91614,2,1,0,0,0,0,0,0
3031,50,26,94509,3,2,0,0,0,1,0,0
2816,26,1,94019,3,3,169,0,0,0,0,0
2740,43,18,91330,1,3,0,0,0,1,0,0
3192,30,5,93101,4,3,0,0,0,0,1,0
2302,38,13,93403,4,3,0,0,0,0,0,0
2991,49,25,94608,2,1,0,1,0,0,0,0
4161,30,4,95054,1,2,0,0,0,1,1,0
1343,36,12,90041,2,1,0,0,0,1,0,0
2581,31,7,92624,1,1,0,0,0,0,0,0
1031,61,35,90024,4,3,0,0,0,0,1,0
1819,45,20,95818,2,3,0,0,0,1,0,0
848,40,14,94539,1,3,252,0,0,1,0,0
4354,61,36,94015,2,2,0,0,0,1,1,0
4742,58,32,93106,4,1,0,0,0,1,0,0
4225,57,27,95929,3,3,0,1,0,0,1,0
3226,52,28,95064,4,2,0,0,0,0,1,0
4425,35,10,93943,1,3,0,0,0,0,1,0
2061,54,29,92093,4,3,0,0,0,1,1,0
619,63,37,91320,2,3,115,0,0,1,0,0
1243,29,4,91380,4,2,0,0,0,1,0,0
2432,56,31,91380,4,1,0,0,0,1,0,0
3750,43,19,90095,3,1,0,0,0,1,0,0
1564,55,29,92109,4,3,121,1,0,0,1,0
4711,41,17,92182,3,3,0,0,0,0,1,0
2261,39,14,93561,2,2,92,0,0,0,0,0
4310,34,8,94025,1,3,0,0,0,1,0,1
1379,54,29,93305,4,3,0,0,0,1,0,0
4834,49,24,92647,1,1,0,0,0,0,0,0
2450,31,7,94720,1,1,0,0,0,1,0,0
1894,49,24,94608,1,3,101,1,0,0,0,0
3717,55,29,91773,3,1,0,0,0,0,0,0
12,29,5,90277,3,2,0,0,0,1,0,0
1588,52,28,94035,2,1,0,1,0,1,0,0
3070,47,20,91320,1,2,0,0,0,1,1,0
2359,53,27,93109,2,3,0,1,0,1,0,0
3564,53,27,94998,1,3,0,0,0,0,0,1
2870,60,35,92660,1,1,80,0,0,0,0,0
2031,63,38,95814,2,1,207,1,1,1,1,0
1716,39,13,95370,3,2,0,0,0,1,0,0
3345,43,19,90639,1,1,0,0,0,0,1,0
4474,31,5,92115,2,1,124,0,0,1,1,0
4990,24,0,93555,1,3,0,0,0,1,0,0
4108,47,22,94123,1,1,0,0,0,0,1,0
2472,36,11,91040,2,2,85,0,0,1,0,0
146,59,35,90007,1,1,0,0,0,0,1,0
3450,57,32,90095,3,2,0,1,1,1,0,1
2128,40,14,94720,2,1,0,0,0,0,0,0
4986,48,23,94720,3,2,162,0,0,1,0,0
704,41,17,94022,2,1,92,0,0,0,0,0
1513,53,28,91604,3,1,0,0,0,0,0,0
3748,26,0,91360,3,2,0,0,0,1,0,1
3499,30,6,93561,4,3,94,0,0,1,0,1
3132,47,22,94025,3,2,168,0,0,1,1,0
1082,53,28,94080,3,2,0,0,0,0,0,0
2931,41,17,95929,4,1,99,0,0,1,0,0
4955,45,19,94904,3,1,0,0,0,1,1,0
494,50,24,94720,1,1,0,0,0,1,1,0
2761,32,7,94080,3,1,0,0,0,1,0,0
1176,29,4,91006,1,2,0,0,0,1,1,0
4995,64,40,94588,3,3,0,0,0,1,0,0
2036,36,10,93065,4,1,0,0,0,1,1,0
4080,65,40,90036,3,1,0,0,0,1,0,0
1587,59,33,94122,2,3,0,0,0,0,1,0
3541,39,15,94305,4,1,0,1,0,0,1,0
3562,30,6,94720,3,2,142,0,0,0,0,0
642,35,10,95060,2,1,0,0,0,0,0,0
4587,58,32,91910,3,3,0,0,0,1,1,0
4529,48,23,94086,1,1,0,0,0,0,0,0
4236,27,1,92173,2,1,0,0,0,1,0,0
814,50,25,94720,1,2,0,0,0,1,0,1
4843,49,23,95449,3,2,590,0,0,0,0,1
1180,36,11,90291,3,3,0,1,0,0,1,0
96,38,12,95617,4,3,0,0,0,1,0,0
2830,35,9,94720,1,1,138,0,0,0,0,0
1186,43,19,94025,3,1,0,0,0,0,0,0
3880,28,4,95136,3,1,270,0,0,0,0,0
1974,47,22,92192,2,1,78,0,0,0,0,0
1380,62,37,95051,1,1,0,0,0,1,0,0
3484,60,36,90066,1,1,0,0,0,1,0,0
1491,30,4,95020,4,2,0,0,0,1,1,0
4709,62,37,92606,3,1,0,0,0,1,0,0
4617,66,41,92521,1,3,0,0,0,1,1,0
4572,58,28,94304,1,3,0,0,0,0,0,0
2768,48,24,90401,1,1,144,0,0,1,0,0
1575,62,37,92106,3,1,0,0,0,1,0,0
2317,54,30,94920,2,1,0,0,0,1,0,0
414,32,7,92407,3,1,0,0,0,1,0,0
354,53,29,95818,4,2,0,0,0,1,0,0
3422,49,23,90245,1,1,0,0,0,0,1,0
3341,29,3,94104,4,3,0,0,0,0,0,0
3241,62,36,93407,1,1,118,0,0,1,0,0
2138,65,40,92354,4,2,247,0,0,1,0,0
1390,45,15,94107,1,3,0,0,0,1,0,0
475,60,34,90028,2,1,0,0,0,1,0,0
2412,47,22,91330,3,2,0,0,0,1,0,0
3783,30,5,91311,4,2,0,1,0,1,0,0
4141,63,38,94015,1,2,0,0,0,0,0,0
2060,28,3,92121,2,1,222,0,0,1,0,0
4005,65,39,92507,3,2,0,0,0,0,0,0
3065,59,33,94701,3,1,0,0,0,1,0,0
1367,60,34,91107,2,1,101,0,0,1,0,0
1029,29,4,92096,4,3,0,0,0,0,0,1
1142,32,7,91365,3,3,0,0,0,1,0,1
3000,60,34,94143,1,1,0,0,0,0,1,0
1781,49,24,95051,1,1,267,0,0,1,0,0
2928,43,17,94117,1,1,0,0,0,0,0,0
1191,39,15,93117,2,1,152,1,0,0,0,0
1163,38,14,94501,2,1,394,0,0,0,0,0
2575,45,18,92037,3,2,100,0,0,1,0,0
1675,37,11,95814,2,2,421,0,0,1,0,1
3630,50,26,95051,1,1,0,0,0,1,1,0
4238,60,34,90401,3,1,0,1,0,0,0,0
443,58,28,95136,1,3,115,0,0,1,0,1
4570,47,21,92152,3,2,0,1,0,0,0,0
3502,65,39,91380,4,3,0,1,0,1,0,0
4083,32,6,90036,4,2,0,0,0,0,0,0
4939,61,35,95973,4,3,0,0,0,1,0,0
3033,47,22,94590,1,3,0,0,0,1,0,0
3627,24,-3,90089,4,3,0,0,0,0,0,0
4975,59,33,92867,4,2,0,0,0,0,1,0
339,29,3,93657,2,1,392,0,0,0,0,0
1923,39,15,93023,1,3,0,0,0,0,0,0
3498,55,31,92130,2,1,0,0,0,0,0,0
3197,37,7,94043,4,3,0,0,0,1,1,0
1835,41,16,94143,2,2,118,0,0,0,0,0
2947,33,9,94110,1,1,437,0,0,1,0,0
2070,30,4,90059,4,1,0,0,0,1,1,0
722,49,24,92717,1,3,0,0,0,1,0,0
1259,34,8,91203,1,1,104,0,0,1,1,0
2376,55,30,91007,4,3,0,1,1,1,1,0
4273,47,22,92647,4,3,0,0,0,1,0,0
1531,47,21,94066,1,1,0,0,0,1,1,0
21,56,31,94015,4,2,111,0,0,1,0,0
2183,40,14,94566,2,3,0,0,0,0,0,0
3026,58,32,94609,2,1,344,0,0,0,0,0
4058,57,32,90740,2,3,0,0,0,0,0,0
1185,34,9,90041,4,1,0,0,0,1,0,0
3866,56,30,93105,3,1,0,0,0,0,0,0
239,57,32,95831,3,1,0,0,0,1,1,0
4846,45,21,94305,1,1,0,0,0,0,0,0
4852,55,31,93407,2,1,0,0,0,1,0,0
3307,47,22,90840,1,1,0,0,0,1,0,0
4046,57,31,94720,4,2,0,0,0,1,0,0
937,62,32,92109,1,3,0,1,0,0,0,0
4368,40,15,90250,2,1,319,0,0,1,1,0
148,50,25,94542,4,3,188,0,0,1,0,0
1118,42,18,94709,1,1,132,0,0,1,1,0
3647,34,9,92056,3,2,260,0,0,1,0,1
1857,51,24,95014,2,2,0,0,0,1,0,0
345,54,24,92606,3,3,138,0,0,1,1,0
3675,42,16,93437,1,1,0,1,0,0,0,0
850,33,8,94305,2,1,0,1,1,1,1,0
1922,45,21,95621,1,3,245,0,0,1,1,0
2721,48,23,93302,1,1,0,0,0,0,1,0
966,62,36,94301,2,2,0,0,0,1,0,1
2075,52,27,91942,1,3,293,0,0,0,1,0
120,32,7,94304,1,1,366,0,0,0,0,0
1012,52,27,94304,2,2,166,0,0,1,0,0
1178,28,3,90405,1,2,149,1,1,1,0,1
183,24,0,95133,1,1,0,0,0,1,0,0
496,25,0,94545,4,2,0,0,0,1,1,0
4853,38,12,94708,4,3,0,1,0,0,1,0
2134,39,15,95035,1,2,176,0,0,1,0,0
3177,48,24,91330,3,1,0,0,0,1,0,0
2765,31,5,91320,1,3,105,0,0,0,1,0
2664,54,28,91311,4,1,0,0,0,0,0,0
2411,29,4,92630,2,1,0,0,0,0,1,0
4994,45,21,91801,2,1,0,0,0,1,0,0
3357,49,23,95051,3,3,0,0,0,0,0,1
2069,61,37,90024,2,3,0,0,0,1,0,0
1249,44,19,94305,4,2,0,0,0,1,0,0
2998,57,33,95053,4,2,0,0,0,0,0,0
2822,57,32,94143,3,2,0,0,0,1,0,0
4309,44,20,94115,3,1,308,0,0,0,0,1
1391,29,3,94305,4,2,0,0,0,1,1,0
3302,48,22,90086,4,1,0,0,0,1,1,0
2689,56,30,94542,2,2,0,0,0,1,0,0
2545,58,34,95039,1,2,0,0,0,0,0,1
4172,58,31,94521,4,2,0,0,0,1,0,0
4032,42,18,91320,1,3,0,0,0,1,0,0
4943,52,26,94710,1,1,308,0,1,1,1,0
4382,33,8,94542,4,1,0,0,0,1,0,0
982,36,12,90064,3,2,0,0,1,1,1,1
1089,59,35,95521,1,1,0,0,0,1,1,0
1476,44,19,92064,2,3,268,0,0,0,0,0
918,45,20,90405,2,1,0,0,0,1,1,0
2562,31,5,94720,1,3,144,1,0,0,0,1
4096,42,17,94105,4,1,0,0,0,1,0,0
4319,49,23,92374,1,2,0,0,0,0,1,0
4619,35,9,95354,3,1,126,0,0,1,0,0
2506,33,7,96064,4,1,0,0,0,0,0,0
3353,34,4,92521,1,3,83,0,0,1,0,0
2548,38,13,90245,2,2,90,0,0,1,0,0
3310,52,27,94611,4,2,0,0,0,1,0,0
1829,30,4,92123,2,2,0,0,0,0,0,0
1519,43,17,95053,4,3,221,0,0,1,0,1
1886,31,6,96001,4,3,104,0,1,1,1,0
3327,53,27,91006,1,2,0,0,0,1,0,1
2539,37,12,92037,2,1,297,0,0,1,1,0
331,54,30,92374,4,2,0,0,0,1,0,0
3634,51,25,90048,1,1,0,0,0,1,0,0
2322,41,15,91380,3,3,0,0,0,0,0,0
301,34,9,92843,4,1,0,1,0,0,0,0
1306,32,6,94025,2,2,88,0,0,1,0,0
3179,46,21,95814,4,3,0,0,0,0,0,0
1407,53,23,92123,4,3,0,0,0,1,1,0
2479,30,5,94063,2,1,0,0,0,0,0,0
190,55,29,94043,2,1,0,0,0,1,0,0
3461,63,37,92691,4,3,0,0,0,1,1,0
2043,41,17,94102,1,1,0,0,0,1,0,0
4272,25,1,92507,1,1,0,0,0,0,0,0
154,60,36,94551,2,1,0,1,1,1,1,0
179,53,29,95818,4,1,0,0,0,1,1,0
3664,26,2,94111,4,1,0,0,1,1,1,0
4690,51,27,95053,4,2,164,0,0,1,1,0
3959,59,34,90009,4,2,78,0,0,0,0,0
1938,51,25,95051,1,3,589,1,1,1,0,1
3883,31,7,92646,1,3,166,0,0,0,1,0
721,58,32,94025,1,3,0,0,0,0,0,0
4949,44,20,95032,1,1,0,0,0,0,1,0
3479,31,6,95747,1,3,0,0,0,0,0,1
160,61,35,94545,4,2,0,1,0,1,0,0
4592,43,16,94577,3,2,0,0,0,1,0,0
1612,58,32,92096,2,3,0,0,0,0,0,0
797,30,6,93657,2,1,0,0,0,0,0,0
2517,28,3,94720,3,3,0,0,0,0,0,0
2959,66,41,92612,3,1,0,0,0,0,0,0
1809,55,31,93010,4,1,0,0,0,1,0,0
2351,52,28,91711,2,1,0,0,0,1,1,0
3735,43,19,95193,4,3,0,0,0,1,0,0
2107,62,38,90210,1,1,0,0,0,0,0,0
97,41,15,95014,1,1,0,0,0,0,0,0
3058,42,18,95616,1,1,0,1,0,1,0,0
4056,42,18,93460,3,3,0,0,0,1,1,0
2056,49,23,90274,1,3,0,0,0,1,0,0
3248,44,20,95032,2,1,0,0,0,1,1,0
2425,38,12,94583,4,2,0,0,0,0,0,0
1294,56,31,92373,2,1,121,0,0,1,1,0
2101,31,6,93940,1,1,84,0,0,1,0,0
299,43,19,92069,2,1,0,0,0,0,0,0
717,29,5,96064,4,2,161,0,0,1,1,0
3105,56,31,91775,2,3,0,0,0,0,1,0
1557,31,1,94143,4,3,244,0,0,0,0,0
3674,34,9,95134,4,1,0,0,0,0,1,0
507,51,25,94608,3,3,0,0,0,0,0,0
2995,50,24,94025,1,1,0,0,0,1,0,0
467,25,0,91342,2,3,0,0,0,1,0,0
2783,47,22,92691,1,1,213,0,0,0,0,0
2655,60,36,94965,4,1,204,1,0,1,0,0
2821,29,4,90245,2,1,303,0,0,0,0,0
1459,51,25,93033,1,3,0,0,0,1,1,0
2651,64,40,95060,2,1,226,0,0,0,0,0
4140,29,3,95827,1,3,0,0,0,0,0,0
3122,28,2,91791,4,1,0,0,0,0,1,0
1499,49,23,94022,1,1,0,0,0,0,0,0
949,30,4,92037,1,3,259,0,0,1,1,0
2732,29,5,96651,1,3,0,0,0,1,0,0
1954,49,25,90058,4,1,83,0,0,1,0,0
216,38,14,95818,2,1,249,0,0,1,1,0
3277,55,31,92123,1,3,0,0,0,0,0,1
4277,50,24,92717,1,1,0,0,0,1,1,0
